,DSTRCT_PPR_KIND_QTY,DSTRCT_RSDL_KIND_QTY,COMB_FOOD_VEGET,DSTRCT_ETC_KIND_QTY,DSTRCT_ELEPDT_KIND_QTY,COMB_PLAS_KIND,NCMB_SUM,SPEC_SUM,DSTRCT_FMDRSNS_KIND_QTY,TOT_SUM,DSTRCT_FARM_KIND_QTY,NCMB_SAND_KIND,DSTRCT_FURN_KIND_QTY,ETC_KIND,FOOD_SUM,DSTRCT_F_LIGHT_QTY,COMB_SUM,DSTRCT_SUM,CTS_JIDT_NM,DSTRCT_WTC_OIL_KIND_QTY,COMB_RUBBER_KIND,DSTRCT_LUBRICANT_QTY,DSTRCT_BATTERY_KIND_QTY,DSTRCT_CLOTHES_KIND_QTY,COMB_ETC_ETC_KIND,DSTRCT_SYNRSNS_KIND_QTY,COMB_WOOD_KIND,DSTRCT_S_IRON_KIND_QTY,COMB_PPR_KIND,DSTRCT_PLAS_KIND_QTY,NCMB_MET_KIND,DSTRCT_CAN_KIND_QTY,DATA_TM_NM,NCMB_ETC_KIND,DSTRCT_GLSS_KIND_QTY,NCMB_GLSS_KIND,DSTRCT_TIRE_KIND_QTY,CITY_JIDT_NM,year
601,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,1.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,예산군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,매립,0.4,0.0,0.4,0.0,충남,2018
602,0.0,0.0,6.1,0.0,0.0,8.4,0.0,33.0,0.0,39.1,0.0,0.0,0.0,0.2,6.1,0.0,32.8,0.0,예산군,0.0,0.6,0.0,0.0,0.0,2.0,0.0,1.2,0.0,14.5,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,충남,2018
603,1.9,3.1,0.0,0.2,0.5,0.0,0.0,0.0,0.2,29.3,3.7,0.0,0.0,0.0,13.0,0.0,0.0,16.3,예산군,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,1.7,0.0,1.3,0.0,1.0,재활용,0.0,2.5,0.0,0.0,충남,2018
604,0.3,0.0,0.0,0.0,0.1,4.3,0.0,25.4,0.1,63.2,4.5,0.0,0.0,0.0,25.2,0.1,25.4,12.6,태안군,0.0,4.1,0.0,0.1,0.0,3.8,0.0,4.7,0.3,8.5,2.4,0.0,0.5,발생량,0.0,4.2,0.0,0.0,충남,2018
605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,태안군,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매립,0.0,0.0,0.0,0.0,충남,2018
606,0.0,0.0,0.0,0.0,0.0,4.3,0.0,24.4,0.0,38.1,0.0,0.0,0.0,0.0,13.7,0.0,24.4,0.0,태안군,0.0,4.1,0.0,0.0,0.0,2.8,0.0,4.7,0.0,8.5,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,충남,2018
607,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,24.1,4.5,0.0,0.0,0.0,11.5,0.1,0.0,12.6,태안군,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.0,2.4,0.0,0.5,재활용,0.0,4.2,0.0,0.0,충남,2018
608,72.7,15.7,1.3,0.0,1.5,61.1,41.9,244.9,0.7,748.6,0.2,4.6,27.0,1.6,327.6,0.2,201.4,176.1,전주시,0.0,12.2,0.0,0.1,1.8,25.7,4.2,19.6,1.7,81.5,44.0,12.5,0.7,발생량,12.4,5.6,12.4,0.0,전북,2018
609,0.0,0.0,0.0,0.0,0.0,0.0,41.9,41.9,0.0,41.9,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,전주시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,매립,12.4,0.0,12.4,0.0,전북,2018
610,0.0,0.0,1.3,0.0,0.0,61.1,0.0,203.0,0.0,203.0,0.0,0.0,0.0,1.6,0.0,0.0,201.4,0.0,전주시,0.0,12.2,0.0,0.0,0.0,25.7,0.0,19.6,0.0,81.5,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,전북,2018
